Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
14,Fr. S. and Antarctic Lands,ATF,XXX,Fr. S. and Antarctic Lands,XXX,Fr. S. and Antarctic Lands,Fr. S. and Antarctic Lands,Fr. S. and Antarctic Lands,Fr. S. and Antarctic Lands,Fr. S. and Antarctic Lands,Fr. S. and Antarctic Lands
73,France,FRA,XXX,France,XXX,France,France,France,France,France,France
244,French Guiana,GUF,XXX,French Guiana,XXX,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana
76,Gabon,GAB,GAB,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon
83,Gambia,GMB,GAM,Gambia,"Gambia, The",Gambia,Gambia,Gambia,The Gambia,Gambia,Gambia
77,Gaza,Gaza,XXX,Gaza,XXX,Gaza,Gaza,Gaza,Gaza,Gaza,Gaza
79,Georgia,GEO,XXX,Georgia,XXX,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
58,Germany,DEU,XXX,Germany,XXX,Germany,Germany,Germany,Germany,Germany,Germany
81,Ghana,GHA,GHA,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana
86,Greece,GRC,XXX,Greece,XXX,Greece,Greece,Greece,Greece,Greece,Greece
88,Greenland,GRL,XXX,Greenland,XXX,Greenland,Greenland,Greenland,Greenland,Greenland,Greenland
87,Grenada,GRD,XXX,Grenada,XXX,Grenada,Grenada,Grenada,Grenada,Grenada,Grenada
90,Guam,GUM,XXX,Guam,XXX,Guam,Guam,Guam,Guam,Guam,Guam
89,Guatemala,GTM,XXX,Guatemala,XXX,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
80,Guernsey,GGY,XXX,Guernsey,XXX,Guernsey,Guernsey,Guernsey,Guernsey,Guernsey,Guernsey
82,Guinea,GIN,GUI,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea
84,Guinea Bissau,GNB,GUB,Guinea Bissau,Guinea-Bissau,GUINEA-BISSAU,Guinea Bissau,Guinea Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
91,Guyana,GUY,XXX,Guyana,XXX,Guyana,Guyana,Guyana,Guyana,Guyana,Guyana
96,Haiti,HTI,XXX,Haiti,XXX,Haiti,Haiti,Haiti,Haiti,Haiti,Haiti
